sensor,country,sector,date,emission rate (kg/h),uncertainty (kg/h),latitude,longitude,comments,platform
EnMAP - DLR,Australia,Coal,08/08/2023,3146.0,903.0,-34.18144,150.72,Downloaded from https://methanedata.unep.org/map?mars=&company=&country=&cc=&sat=&limit=1000&pub=#mcoord=0/30/0 on the 11122025. Cleaned using eda_mars.ipynb,IMEO MARS
Sentinel-5P/TROPOMI - ESA,Australia,Coal,08/08/2024,27700.0,12460.0,-32.5804,150.9769,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
PRISMA - ASI,Australia,Coal,08/10/2024,1863.0,501.0,-22.98782,148.58165,Downloaded from https://methanedata.unep.org/map?mars=&company=&country=&cc=&sat=&limit=1000&pub=#mcoord=0/30/0 on the 11122025. Cleaned using eda_mars.ipynb,IMEO MARS
Sentinel-5P/TROPOMI - ESA,Australia,Coal,08/12/2019,78620.0,35380.0,-21.9099,148.0284,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Australia,Coal,09/06/2024,3640.0,1640.0,-23.0658,148.6588,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Australia,Coal,09/08/2023,36720.0,16520.0,-32.815,151.0126,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Australia,Coal,09/10/2020,19970.0,8990.0,-22.99,148.5558,Downloaded from https://methanewatch.kayrros.com/map on the 11032025. Cleaned using eda_kayrros_methane_watch.ipynb,Kayrros Methane Watch
Sentinel-5P/TROPOMI - ESA,Australia,Coal,10/06/2025,13000.0,6000.0,-23.32,148.87,Downloaded from https://methanedata.unep.org/map?mars=&company=&country=&cc=&sat=&limit=1000&pub=#mcoord=0/30/0 on the 11122025. Cleaned using eda_mars.ipynb,IMEO MARS
Sentinel-5P/TROPOMI - ESA,Australia,Coal,10/06/2025,20000.0,9000.0,-23.05,148.58,Downloaded from https://methanedata.unep.org/map?mars=&company=&country=&cc=&sat=&limit=1000&pub=#mcoord=0/30/0 on the 11122025. Cleaned using eda_mars.ipynb,IMEO MARS
Sentinel-5P/TROPOMI - ESA,Australia,Coal,10/09/2025,13000.0,6000.0,-22.31,148.46,Downloaded from https://methanedata.unep.org/map?mars=&company=&country=&cc=&sat=&limit=1000&pub=#mcoord=0/30/0 on the 11122025. Cleaned using eda_mars.ipynb,IMEO MARS
