GEM Mine ID,Country,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),GEM Wiki Page (Non-ENG),Status,Capacity (Mtpa),Opening Year,ROM or Saleable,"Coal Output (Annual, Mt) 2023",Output Accuracy,"Coal Output (Annual, Mt) 2022",Output Accuracy,"Coal Output (Annual, Mt) 2021",Output Accuracy,"Coal Output (Annual, Mt) 2020",Output Accuracy,"Coal Output (Annual, Mt) 2019",Output Accuracy,"Coal Output (Annual, Mt) 2018",Output Accuracy,"Coal Output (Annual, Mt) 2017",Output Accuracy
M1986,China,Jiegou Coal Mine,,????????????????,https://www.gem.wiki/%E5%AE%BF%E5%B7%9E%E7%85%A4%E7%94%B5%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%95%8C%E6%B2%9F%E7%85%A4%E7%9F%BF,Operating,1.4,2008,ROM,1.04,Estimated,1.05,Estimated,1.04,Estimated,0.98,Estimated,0.99,Estimated,0.99,Estimated,1.40,Reported
M2006,China,Jiudaoling Coal Mine,,???????????,https://www.gem.wiki/%E8%BE%BD%E5%AE%81%E4%B9%9D%E9%81%93%E5%B2%AD%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Operating,1.1,2006,ROM,0.82,Estimated,0.82,Estimated,0.82,Estimated,0.77,Estimated,0.78,Estimated,0.85,Estimated,-,
M2014,China,Kongzhuang Coal Mine,,????????????????,https://www.gem.wiki/%E4%B8%8A%E6%B5%B7%E5%A4%A7%E5%B1%AF%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%AD%94%E5%BA%84%E7%85%A4%E7%9F%BF,Operating,1.44,1977,ROM,1.07,Estimated,1.08,Estimated,1.07,Estimated,1.01,Estimated,1.27,Estimated,1.27,Estimated,-,
M0271,China,Kouzi East Coal Mine,,????????????????,https://www.gem.wiki/%E4%B8%AD%E7%85%A4%E6%96%B0%E9%9B%86%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%8F%A3%E5%AD%9C%E4%B8%9C%E7%9F%BF,Operating,5,2014,ROM,3.72,Estimated,3.75,Estimated,3.73,Estimated,3.49,Estimated,4.41,Reported,3.95,Reported,4.25,Reported
M2017,China,Laohutai Coal Mine,,????????????????,https://www.gem.wiki/%E6%8A%9A%E9%A1%BA%E7%9F%BF%E4%B8%9A%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E8%80%81%E8%99%8E%E5%8F%B0%E7%9F%BF,Operating,2.4,1904,ROM,1.79,Estimated,1.80,Estimated,1.79,Estimated,1.68,Estimated,1.69,Estimated,1.69,Estimated,-,
M2024,China,Linsheng Coal Mine,,??????????????,https://www.gem.wiki/%E6%B2%88%E9%98%B3%E7%84%A6%E7%85%A4%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E6%9E%97%E7%9B%9B%E7%85%A4%E7%9F%BF,Operating,1.1,1982,ROM,0.82,Estimated,0.82,Estimated,0.82,Estimated,0.77,Estimated,0.78,Estimated,0.78,Estimated,-,
M0280,China,Liuzhuang Coal Mine,,????????????????,https://www.gem.wiki/%E4%B8%AD%E7%85%A4%E6%96%B0%E9%9B%86%E8%83%BD%E6%BA%90%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E5%88%98%E5%BA%84%E7%85%A4%E7%9F%BF,Operating,11,2007,ROM,8.18,Estimated,8.24,Estimated,8.20,Estimated,7.68,Estimated,10.31,Reported,9.91,Reported,9.74,Reported
M1185,China,Pan’er Coal Mine,,??????????????????,https://www.gem.wiki/%E6%B7%AE%E5%8D%97%E7%9F%BF%E4%B8%9A%EF%BC%88%E9%9B%86%E5%9B%A2%EF%BC%89%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E6%BD%98%E4%BA%8C%E7%85%A4%E7%9F%BF,Operating,5,1989,ROM,3.72,Estimated,3.43,Reported,3.84,Reported,4.00,Reported,2.54,Reported,1.56,Reported,8.85,Reported
M2078,China,Puhe Coal Mine,,??????????????,https://www.gem.wiki/%E6%B2%88%E9%98%B3%E7%84%A6%E7%85%A4%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E8%92%B2%E6%B2%B3%E7%85%A4%E7%9F%BF,Operating,1.5,1958,ROM,1.12,Estimated,1.12,Estimated,1.12,Estimated,1.05,Estimated,1.06,Estimated,1.06,Estimated,-,
M1187,China,Qianyingzi Coal Mine,,?????????????????,https://www.gem.wiki/%E5%AE%89%E5%BE%BD%E6%81%92%E6%BA%90%E7%85%A4%E7%94%B5%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E9%92%B1%E8%90%A5%E5%AD%9C%E7%85%A4%E7%9F%BF,Operating,3.85,2010,ROM,2.86,Estimated,3.69,Reported,3.76,Reported,3.59,Reported,3.64,Reported,2.72,Estimated,3.85,Reported
M2082,China,Qidong Coal Mine,,????????????????,https://www.gem.wiki/%E5%AE%89%E5%BE%BD%E6%81%92%E6%BA%90%E7%85%A4%E7%94%B5%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%A5%81%E4%B8%9C%E7%85%A4%E7%9F%BF,Operating,1.8,2002,ROM,1.34,Estimated,1.31,Reported,1.39,Reported,1.63,Reported,1.72,Reported,1.27,Estimated,1.80,Reported
M2094,China,Renlou Coal Mine,,????????????????,https://www.gem.wiki/%E5%AE%89%E5%BE%BD%E6%81%92%E6%BA%90%E7%85%A4%E7%94%B5%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E4%BB%BB%E6%A5%BC%E7%85%A4%E7%9F%BF,Operating,2.4,1998,ROM,1.79,Estimated,1.84,Reported,2.02,Reported,1.93,Reported,2.27,Reported,1.69,Estimated,2.40,Reported
